qid,chapter,correct,question_text,score_length(機械),score_qualifier(機械),score_keyword(機械),score_surface(Claude),score_knowledge(Claude),合計スコア,判定区分,Claude判定理由,選択肢A,選択肢B,選択肢C,選択肢D,正解文字数,不正解平均文字数
Q1-043,第1章,B,基盤モデル（Foundation Model）を医療分野で活用する際の課題として最も適切なものはどれか。,4,5,0,3,2,14,注意,汎用vs専門のずれは概念的に理解しやすい,基盤モデルは医療専用に設計されているため、他分野への応用ができない,汎用的に学習されているため、医療特有の専門用語や概念の理解が不十分な場合がある,基盤モデルは小規模なため、複雑なタスクに対応できない,基盤モデルはオープンソースでのみ提供されている,39,27
Q1-044,第1章,A,医療機関が導入を検討しているAIシステムについて、「識別系AI」「予測系AI」「生成系AI」のいずれに該当するかを判断する際の基準として最も適切なものはどれか。,5,0,0,3,3,11,注意,AI分類=入出力で行う、他は副次的属性,AIが入力データをどのように処理し、どのような出力を生成するかで分類する,AIの開発元が日本企業か海外企業かで分類する,AIの導入に必要なハードウェアのスペックで分類する,AIの価格帯で分類する,36,19
Q1-045,第1章,D,医療機関が生成AIサービスを選定する際に確認すべき事項として適切でないものはどれか。,0,0,0,4,4,8,注意,D「全データ個別リスト」は非現実的、他は妥当な確認事項,サービスの稼働率や障害時の対応体制,サービス提供元のデータセンターの所在地,入力データがAIの学習に使用されるかどうかの設定・規約,AIモデルの学習に使用された全データの個別リスト,24,21
Q2-001,第2章,A,AI問診システムの主な機能として最も適切なものはどれか。,5,0,0,5,4,14,注意,不正解はAIが処方・診断・手術と過剰権限、医療現場の常識で除外可能,患者の症状を聞き取り、可能性のある疾患の候補を提示して医師の診療を支援する,患者への処方箋を自動的に発行する,患者の代わりに最終的な診断を確定する,患者の手術を自律的に実施する,37,16
Q2-002,第2章,D,臨床意思決定支援システム（CDS：Clinical Decision Support）の説明として最も適切なものはどれか。,5,3,0,5,4,17,要改善,CDS=医療判断支援は名称から推測、他は経理・勤怠で明らかに無関係,医師の判断を完全に代替し、自動的に治療を実行するシステム,病院の経理・会計処理を自動化するシステム,医療従事者の勤怠管理を行うシステム,患者データやエビデンスに基づいて、診断・治療方針の判断を支援する情報を提供するシステム,43,22
Q2-003,第2章,C,生成AIによる医療文書作成支援の活用例として最も適切なものはどれか。,4,0,0,4,4,12,注意,医師確認→発行が正解、他はAI単独で診断・処方で常識的に不可,AIが診断を確定し、その結果をカルテに自動記録する,AIが自動生成した診断書をそのまま患者に交付する,AIが生成した紹介状の下書きを医師が確認・修正してから発行する,AIが処方箋を自動発行し、薬局に直接送信する,31,24
Q2-004,第2章,C,医師がインフォームドコンセント（IC）の説明文書作成に生成AIを活用する場合、最も適切な使用方法はどれか。,5,3,1,4,4,17,要改善,IC=患者同意は医療常識、AI代行・確認なし提供は明らかに不適切,AIが生成した説明文書を確認せずにそのまま患者に渡す,AIが推奨する治療法のみを説明し、他の選択肢は提示しない,患者の疾患に関する説明文書の下書きをAIに生成させ、医師が内容を確認・修正してから使用する,AIに患者との面談を代行させ、同意取得まで自動化する,45,27
Q2-005,第2章,B,病棟看護師が生成AIを活用して業務効率化を図る場面として最も適切なものはどれか。,2,3,0,4,4,13,注意,看護師確認・人間判断が正解、他はAI暴走または個人情報漏洩で誤,患者のバイタルサイン異常をAIが検知し、AIの判断のみで医師への報告を省略する,夜勤帯の申し送り事項をAIに口述入力し、要約された申し送り文を確認してから引き継ぐ,AIが提案したケアプランを看護師の判断なしにそのまま実施する,患者の個人情報を含む看護記録を、無料の汎用AIチャットサービスに入力して要約させる,41,37
Q2-006,第2章,C,薬剤師業務における生成AIの活用例として最も適切なものはどれか。,5,0,0,4,4,13,注意,薬剤師確認→使用が正解、他はAIが処方変更・直接投与で常識的に不可,AIが処方箋の内容を自動的に変更する,AIが医師の処方を承認なしに却下する,AIが患者への服薬指導文書の下書きを作成し、薬剤師が確認・修正して使用する,AIが患者に直接薬剤を投与する,37,17
Q2-007,第2章,C,生成AIを用いて患者向けの疾患説明資料を作成する際の留意点として最も適切なものはどれか。,4,5,0,4,4,17,要改善,「常に正確」「一切記載しない」断定語誘導、患者理解+医療者確認は常識,AIが生成した内容は常に正確なので、確認なしで使用してよい,専門用語を多用して医学的な正確性を優先する,患者の理解度に合わせた平易な表現を用い、医療者が内容を確認してから提供する,著作権の問題を避けるため、参考文献は一切記載しない,37,25
Q2-008,第2章,B,救急外来でAIトリアージ支援システムを運用する場合、最も適切な運用方法はどれか。,3,3,0,4,4,14,注意,医療従事者が最終判断が正解、AIのみ判定は医療常識違反,AIが軽症と判定した患者は診察せずに帰宅させる,AIの判定結果を参考にしつつ、最終的な緊急度判定は医療従事者が行う,AIの判定結果のみに基づいて患者の診察順序を決定する,AIの判定結果を患者に直接伝え、待ち時間の目安を通知する,33,26
Q2-009,第2章,A,医療現場における音声認識AIの活用例として最も適切なものはどれか。,4,3,0,4,4,15,要改善,カルテ下書き支援が正解、無断録音・確認なし・自動処方は明らかに不適切,医師の診察中の発話を文字起こしし、カルテ記載の下書きを自動生成する,患者の会話を無断で録音し、分析する,音声認識結果を確認なしでそのまま正式なカルテとして保存する,医師の音声指示のみでAIが自動的に処方箋を発行する,33,24
Q2-010,第2章,C,外国人患者の診療において生成AIを翻訳支援に活用する場合、最も適切な運用方法はどれか。,4,0,1,4,4,13,注意,AI翻訳は補助、専門通訳必要が常識的、他は「不要」「完璧」断定誘導,翻訳AIを使用する際は、患者への説明や同意は不要である,AIによる翻訳結果をそのまま医療通訳として使用し、専門の通訳者は不要とする,緊急性が低く簡単な説明の補助に活用し、重要な説明や同意取得には専門通訳者を介在させる,AIの翻訳精度は完璧なので、医学用語の翻訳も問題なく対応できる,42,32
Q2-011,第2章,B,医療事務業務における生成AIの活用例として最も適切なものはどれか。,5,0,0,4,4,13,注意,レセプト点検+問い合わせが正解、AIが請求・引落しは明らかに不適切,AIが患者に直接診療費を請求する,レセプト点検の補助や、患者からの問い合わせ対応文書の下書き作成,AIがレセプト審査を最終的に承認する,AIが医療費の支払いを患者の口座から自動引き落としする,31,20
Q2-012,第2章,C,生成AIを医学研究や論文執筆に活用する際の注意点として最も適切なものはどれか。,0,0,1,4,4,9,注意,AI論文活用は補助+確認、他は研究不正・著作権無視で明白に誤,AIが引用した参考文献は自動的に正確なので、確認は不要である,AIが生成した文章は著作権フリーなので、そのまま自分の論文として投稿してよい,AIの出力は補助的に活用し、事実の正確性確認と文献の実在確認を研究者が行う,AIを使用したことは論文に記載する必要がない,37,30
Q2-013,第2章,B,医学教育において生成AIを活用する例として最も適切なものはどれか。,5,0,2,4,4,15,要改善,症例シミュ+フィードバックが正解、AIが実習・成績判定・国試判定は不可,AIが学生の代わりに臨床実習を行う,症例シミュレーションのシナリオ作成や、学習者への個別フィードバック生成に活用する,AIが学生の成績を最終的に評価・判定する,AIが医師国家試験の合否を判定する,40,18
Q2-014,第2章,A,リハビリテーション業務における生成AIの活用例として最も適切なものはどれか。,4,0,0,4,4,12,注意,記録支援が正解、AIが終了判断・処方・直接実施は医療常識違反,リハビリ計画書の下書き作成や、経過記録の要約作成の補助,AIが患者のリハビリ終了を最終判断する,AIが装具や補助具を患者に処方する,AIがリハビリ訓練を患者に直接実施する,27,18
Q2-015,第2章,C,医療機関がAIチャットボットを患者向けに導入する場合のリスクとして最も重要なものはどれか。,5,0,0,3,3,11,注意,鵜呑みリスクが本質、他は副次的（速度・UI・費用）,チャットボットの応答速度が遅いこと,チャットボットのユーザーインターフェースがわかりにくいこと,チャットボットの回答を患者が鵜呑みにし、適切な受診が遅れる可能性があること,チャットボットの維持費用がかかること,37,21
Q2-016,第2章,A,画像診断AIとLLM（大規模言語モデル）を連携させた活用例として最も適切なものはどれか。,5,0,0,4,3,12,注意,画像AI+LLM=自然言語レポートは推測可能、他は逆向きまたは単独で誤,画像診断AIが検出した所見をLLMが自然言語で説明する読影レポートを自動生成する,画像診断AIがLLMの学習を行う,LLMが画像診断AIの学習データを自動的に収集する,LLMが単独でCT画像から腫瘍を検出する,40,20
Q2-017,第2章,B,政府が推進する「医療DX」において、生成AIの活用が期待される領域として適切でないものはどれか。,0,0,0,5,4,9,注意,「完全な代替」が断定誘導、医療従事者代替は不可と常識的,医療情報の分析・活用支援,医療従事者の完全な代替,電子カルテの記載支援,患者への説明文書の作成支援,11,12
Q2-018,第2章,A,臨床意思決定支援システム（CDS）に生成AIを組み込む際に最も重要な考慮事項はどれか。,5,0,0,4,4,13,注意,医師最終判断が医療常識、他は副次的事項,AIが提示する推奨の根拠を医師が確認でき、最終判断は医師が行える設計,できるだけ多くの機能を一つのシステムに統合すること,ユーザーインターフェースのデザイン性,システムの導入コストの最小化,34,19
Q2-019,第2章,D,クリニックがAI問診システムを導入する際、患者への説明として最も適切なものはどれか。,4,0,0,5,4,13,注意,「医師不要」「最終診断」は医療常識違反、D「医師診察スムーズに」は穏当,「AIが処方箋を発行しますので、医師に会う必要はありません」,「AIが診断しますので、医師の診察は不要です」,「AIの判定結果がそのまま最終診断となります」,「事前にAIが症状をお伺いし、医師の診察をスムーズにするためのツールです」,37,25
Q2-020,第2章,B,生成AIによる退院サマリー作成支援において、医師が確認すべき事項として最も優先度が高いものはどれか。,5,0,1,4,3,13,注意,医学的内容が最優先は常識、他は形式的事項,敬語の使い方が適切か,診断名、治療内容、退院時指示などの医学的内容の正確性,文字数が適切な範囲に収まっているか,文章の読みやすさとフォーマットの統一性,26,15
Q2-021,第2章,A,看護記録における生成AIの活用として適切でないものはどれか。,0,0,0,4,4,8,注意,AI最終判断不可は常識、他は適切な活用例,AIによる看護判断の最終決定,ケアプラン文書の下書き作成,申し送り事項の要約作成,患者の状態観察の記録文の下書き作成,14,14
Q2-022,第2章,B,薬剤師が服薬指導に生成AIを活用する場合のリスクとして最も注意すべきものはどれか。,5,0,1,4,3,13,注意,AI出力誤りが主要リスク、他は利点を逆に提示,指導内容の文書化が容易になること,AIが生成した情報に薬剤の相互作用や副作用に関する誤りが含まれる可能性,服薬指導にかかる時間が短くなること,患者とのコミュニケーション機会が増えること,35,18
Q2-023,第2章,A,手術前のインフォームドコンセント説明資料の作成に生成AIを活用する場合、含めるべき内容として最も重要なものはどれか。,5,0,0,4,4,13,注意,IC=リスク+代替治療が常識、他（設備・経歴・沿革）は本質と無関係,手術のリスク・合併症の可能性と、代替治療の選択肢,手術室の設備紹介,担当医師の経歴紹介,病院の沿革と理念,24,8
Q2-024,第2章,D,クリニカルパス（診療計画書）の作成・運用における生成AIの活用として最も適切なものはどれか。,5,0,0,4,4,13,注意,チームレビューが正解、AI承認なし適用・自動変更・同意なしは不可,AIがクリニカルパスを自動的に作成し、医師の承認なしに適用する,AIがパスからの逸脱を判断し、自動的に治療内容を変更する,患者の同意なくAIがパスの適用を決定する,既存のエビデンスに基づいてクリニカルパスの原案を作成し、医療チームがレビュー・修正する,43,26
Q2-025,第2章,C,患者のヘルスリテラシーに配慮した情報提供において、生成AIを活用する利点として最も適切なものはどれか。,5,3,0,4,3,15,要改善,患者個別調整が利点、他「同じ難易度」「専門用語多用」は逆向き,医療者が患者と直接会話する必要がなくなる,すべての患者に同じ難易度の説明文を提供できる,患者の理解度に合わせて、説明の表現や難易度を調整した文書を作成できる,専門用語を多用した正確な医学情報を提供できる,34,21
Q2-026,第2章,D,栄養管理業務における生成AIの活用例として最も適切なものはどれか。,5,0,0,4,4,13,注意,管理栄養士確認が正解、AI自動発注・処方変更・最終判定は不可,AIが経腸栄養剤を自動的に発注する,AIが処方された輸液の内容を自動変更する,AIが患者の栄養状態を最終判定する,AIが栄養指導資料の下書きを作成し、管理栄養士が確認・修正する,31,18
Q2-027,第2章,B,ドラッグリパーパシング（既存薬再開発）におけるAIの活用として最も適切なものはどれか。,5,3,0,4,4,16,要改善,候補予測+研究者検証が正解、AI直接処方・承認・臨床試験代替は不可,AIが患者に直接新薬を処方する,AIが既存薬の新たな適応症の候補を予測し、研究者が検証を行う,AIが新薬の承認を自動的に行う,AIが臨床試験を完全に代替する,30,15
Q2-028,第2章,B,病院経営分析に生成AIを活用する場合の適切な用途はどれか。,5,3,0,4,4,16,要改善,レポート支援が正解、AI最終決定・人事・自動請求は不適切,AIの判断のみに基づいて職員の人事異動を決定する,経営指標のレポート作成支援と、類似病院とのベンチマーク比較の要約,AIが病院の経営方針を最終決定する,AIが医療費の保険請求を自動で行う,32,19
